Rok,Příjemce,Převod z výnosů daní,Převod sankcí ochrana životního prostředí,Převod odvodů za porušení rozpočtové kázně,,,,,,,,,,,,,,,,
2012,Ostatní státní fondy,-,-,22.13,,,,,,,,,,,,,,,,
2012,Národní fond,-,-,66.86,,,,,,,,,,,,,,,,
2012,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2012,SFDI ,5248.53,-,-,,,,,,,,,,,,,,,,
2012,Penzijní společnosti,-,-,-,,,,,,,,,,,,,,,,
2013,Obce,144151.49,0.17,-,,,,,,,,,,,,,,,,
2013,Kraje,48059.16,-,-,,,,,,,,,,,,,,,,
2013,SFŽP,-,0.32,6.55,,,,,,,,,,,,,,,,
2013,Ostatní státní fondy,-,-,56.50,,,,,,,,,,,,,,,,
2013,Národní fond,-,-,141.92,,,,,,,,,,,,,,,,
2013,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2013,SFDI ,5364.93,-,-,,,,,,,,,,,,,,,,
2013,Penzijní společnosti,353.11,-,-,,,,,,,,,,,,,,,,
2014,Obce,152126.09,0.54,-,,,,,,,,,,,,,,,,
2014,Kraje,50697.01,0.00,-,,,,,,,,,,,,,,,,
2014,SFŽP,-,0.86,4.50,,,,,,,,,,,,,,,,
2014,Ostatní státní fondy,-,-,254.46,,,,,,,,,,,,,,,,
2014,Národní fond,-,-,191.67,,,,,,,,,,,,,,,,
2014,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2014,SFDI ,5775.02,-,-,,,,,,,,,,,,,,,,
2014,Penzijní společnosti,1333.07,-,-,,,,,,,,,,,,,,,,
2015,Obce,156646.20,0.39,-,,,,,,,,,,,,,,,,
2015,Kraje,52200.92,0.00,-,,,,,,,,,,,,,,,,
2015,SFŽP,-,8.83,4.39,,,,,,,,,,,,,,,,
2015,Ostatní státní fondy,-,-,301.34,,,,,,,,,,,,,,,,
2015,Národní fond,-,-,293.38,,,,,,,,,,,,,,,,
2015,Rezervní fond,-,-,-,,,,,,,,,,,,,,,,
2015,SFDI ,5800.74,-,-,,,,,,,,,,,,,,,,
2015,Penzijní společnosti,1414.97,-,-,,,,,,,,,,,,,,,,
2016,Obce,171671.24,0.36,-,,,,,,,,,,,,,,,,
2016,Kraje,60378.91,0.02,-,,,,,,,,,,,,,,,,
2016,SFŽP,-,0.42,5.10,,,,,,,,,,,,,,,,
2016,Ostatní státní fondy,-,-,893.73,,,,,,,,,,,,,,,,
2016,Národní fond,-,-,508.92,,,,,,,,,,,,,,,,
2016,Rezervní fond,-,-,0.02,,,,,,,,,,,,,,,,
2016,SFDI ,6055.36,-,-,,,,,,,,,,,,,,,,
2016,Penzijní společnosti,331.89,-,-,,,,,,,,,,,,,,,,
2017,Obce,186381.95,0.13,-,,,,,,,,,,,,,,,,
2017,Kraje,66133.48,0.00,-,,,,,,,,,,,,,,,,
2017,SFŽP,-,0.14,2.25,,,,,,,,,,,,,,,,
2017,Ostatní státní fondy,-,-,2104.09,,,,,,,,,,,,,,,,
2017,Národní fond,-,-,287.01,,,,,,,,,,,,,,,,
2017,Rezervní fond,-,-,7.56,,,,,,,,,,,,,,,,
2017,SFDI ,6115.39,-,-,,,,,,,,,,,,,,,,
2017,Penzijní společnosti,0.00,-,-,,,,,,,,,,,,,,,,
2018,Obce,205135.54,0.05,-,,,,,,,,,,,,,,,,
2018,Kraje,70790.41,0.00,-,,,,,,,,,,,,,,,,
2018,SFŽP,-,0.05,4.25,,,,,,,,,,,,,,,,
2018,Ostatní státní fondy,-,-,3834.58,,,,,,,,,,,,,,,,
2018,Národní fond,-,-,236.17,,,,,,,,,,,,,,,,
2018,Rezervní fond,-,-,0.03,,,,,,,,,,,,,,,,
2018,SFDI ,6138.76,-,-,,,,,,,,,,,,,,,,
2018,Penzijní společnosti,0.00,-,-,,,,,,,,,,,,,,,,
